RecordWritten,Cluster_ID
14,2
14,3
14,3
14,4
14,3
14,2
14,2
14,2
14,3
14,2
14,2
14,2
14,2
14,3
14,1
14,2
14,2
14,2
14,2
14,1
14,1
14,3
14,1
14,2
14,1
14,2
14,2
14,2
14,3
14,4
14,2
14,2
14,2
14,4
14,2
14,2
14,3
14,2
14,2
14,3
14,3
14,4
14,4
14,3
14,2
14,3
14,3
14,3
14,3
14,3
14,3
14,4
14,2
14,3
14,2
14,2
14,2
14,2
14,3
14,1
14,4
14,3
14,4
14,1
14,2
14,1
14,3
14,3
14,3
14,3
14,3
14,4
14,1
14,2
14,2
14,2
14,3
14,3
14,4
14,2
14,2
14,3
14,3
14,3
14,2
14,2
14,2
14,2
14,3
14,2
14,2
14,2
14,2
14,2
14,3
14,2
14,3
14,2
14,3
14,2
14,1
14,2
14,4
14,2
14,1
14,2
14,2
14,2
14,2
14,4
14,3
14,2
14,1
14,2
14,2
14,2
14,2
14,2
14,4
14,3
14,2
14,2
14,2
14,3
14,3
14,3
14,2
14,2
14,2
14,2
14,1
14,2
14,3
14,3
14,4
14,1
14,6
14,2
14,2
14,1
14,3
14,2
14,2
14,3
14,2
14,2
14,3
14,3
14,3
14,2
14,1
14,8
14,1
14,3
14,1
14,2
14,1
14,1
14,1
14,2
14,2
14,4
14,4
14,2
14,3
14,2
14,2
14,2
14,4
14,4
14,3
14,2
14,2
14,2
14,1
14,2
14,2
14,2
14,2
14,3
14,4
14,2
14,2
14,3
14,2
14,2
14,7
14,2
14,3
14,1
14,3
14,2
14,2
14,2
14,2
14,3
14,2
14,1
14,1
14,4
14,3
14,4
14,2
14,2
14,3
14,1
14,1
14,3
14,3
14,6
14,3
14,2
14,1
14,3
14,1
14,1
14,6
14,2
14,1
14,2
14,2
14,2
14,2
14,7
14,7
14,2
14,2
14,7
14,1
14,3
14,1
14,3
14,3
14,7
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,2
14,3
14,2
14,2
14,2
14,4
14,2
14,2
14,2
14,3
14,4
14,2
14,3
14,3
14,2
14,3
14,2
14,2
14,3
14,3
14,3
14,2
14,2
14,3
14,2
14,3
14,1
14,2
14,3
14,4
14,4
14,3
14,2
14,2
14,3
14,2
14,2
14,3
14,2
14,4
14,3
14,2
14,2
14,2
14,1
14,3
14,4
14,5
14,3
14,2
14,2
14,1
14,3
14,3
14,3
14,3
14,2
14,2
14,4
14,6
14,2
14,2
14,3
14,4
14,2
14,2
14,2
14,2
14,3
14,3
14,2
14,2
14,1
14,2
14,2
14,3
14,3
14,2
14,3
14,3
14,3
14,3
14,1
14,4
14,4
14,2
14,4
15,3
15,4
15,3
15,2
15,3
15,2
15,2
15,2
15,3
15,3
15,1
15,4
15,3
15,2
15,2
15,2
15,3
15,3
15,2
15,2
15,2
15,2
15,2
15,2
15,3
15,1
15,4
15,3
15,4
15,3
15,3
15,2
15,3
15,3
15,3
15,1
15,4
15,4
15,2
15,2
15,3
15,3
15,1
15,4
15,4
15,2
15,4
15,3
15,2
15,2
15,2
15,2
15,1
15,4
15,2
15,2
15,2
15,2
15,3
15,3
15,2
15,2
15,6
15,3
15,3
15,3
15,3
15,3
15,2
15,3
15,2
15,2
15,2
15,2
15,3
15,2
15,2
15,4
15,3
15,4
15,2
15,2
15,3
15,2
15,2
15,2
15,3
15,2
15,2
15,2
15,2
15,2
15,2
15,2
15,2
15,1
15,2
15,3
15,4
15,2
15,4
15,2
15,2
15,4
15,1
15,3
15,1
15,2
15,4
15,3
15,2
15,2
15,4
15,4
15,3
15,3
15,4
15,2
15,2
15,2
15,1
15,1
15,1
15,2
15,4
15,2
15,2
15,4
15,2
15,3
15,3
15,2
15,2
15,4
15,1
15,2
15,4
15,3
15,2
15,2
15,2
15,2
15,2
15,4
15,4
15,2
15,2
15,4
15,3
15,4
15,2
15,3
15,1
15,2
15,2
15,2
15,1
15,4
15,2
15,2
15,2
15,2
15,2
15,3
15,2
15,3
15,1
15,1
15,2
15,7
15,3
15,2
15,2
15,3
15,4
15,3
15,2
15,2
15,2
15,1
15,3
15,2
15,4
15,3
15,1
15,2
15,2
15,3
15,3
15,4
15,3
15,4
15,2
15,2
15,3
15,2
15,2
15,3
15,2
15,2
15,3
15,2
15,2
15,2
15,2
15,4
15,3
15,2
15,2
15,3
15,2
15,2
15,2
15,2
15,6
15,2
15,1
15,4
15,2
15,3
15,1
15,2
15,6
15,2
15,2
15,2
15,3
15,3
15,2
15,6
15,3
15,3
15,1
15,1
15,2
15,2
15,4
15,3
15,3
15,3
15,2
15,2
15,3
15,3
15,2
15,4
15,1
15,4
15,1
15,2
15,3
15,4
15,8
15,2
15,3
15,2
15,2
15,5
15,2
15,2
15,2
15,2
15,2
15,1
15,1
15,2
15,3
15,3
15,2
15,4
15,4
15,2
15,2
15,2
15,1
15,2
15,3
15,1
15,2
15,2
15,4
15,4
15,2
15,3
15,3
15,3
15,3
15,2
15,3
15,6
15,2
15,2
15,2
15,3
15,2
15,2
15,3
15,3
15,1
15,4
15,2
15,2
15,1
15,3
15,2
15,3
15,2
15,2
15,4
15,2
15,4
15,3
15,3
15,2
15,1
15,2
15,4
15,2
15,6
15,3
15,3
15,2
15,2
15,3
15,2
15,3
15,2
15,2
15,3
15,2
15,1
15,2
15,2
15,3
15,3
15,4
15,1
15,1
15,2
15,4
15,3
15,3
15,3
15,3
15,1
15,2
15,2
15,3
15,3
15,2
15,3
15,3
15,3
15,3
15,2
15,1
15,3
15,2
15,3
15,2
15,3
15,4
15,2
15,3
15,3
15,4
15,1
15,1
15,3
15,3
15,4
15,3
15,2
15,7
15,3
15,2
15,2
15,2
15,1
15,2
15,2
15,4
15,2
15,3
15,2
15,1
15,8
15,3
15,2
15,1
15,3
15,3
15,1
15,3
15,2
15,1
15,2
15,4
15,2
15,3
15,2
15,3
15,1
15,1
15,4
15,2
15,4
15,4
15,2
15,3
15,2
15,4
15,3
15,3
15,2
15,4
15,2
15,1
15,2
15,3
15,3
15,2
15,2
15,7
15,3
15,3
15,4
15,2
15,2
15,3
15,2
15,2
15,2
15,1
15,4
15,3
15,3
15,2
15,2
15,2
15,3
15,2
15,2
15,4
15,2
15,2
15,3
15,2
15,1
15,4
15,1
15,2
15,1
15,3
15,2
15,2
15,2
15,3
15,3
15,4
15,4
15,4
15,7
15,4
15,3
15,1
15,3
15,3
15,2
15,4
15,2
15,2
15,2
15,2
15,2
15,3
15,1
15,2
15,2
15,3
15,3
15,2
15,2
15,4
15,3
15,1
15,2
15,3
15,2
15,2
15,4
15,3
15,1
15,2
15,2
15,2
15,2
15,2
15,3
15,3
15,1
15,1
15,3
15,1
15,2
15,1
15,4
15,2
15,2
15,2
15,3
15,2
15,2
15,2
15,3
15,2
15,3
15,3
15,2
15,2
15,2
15,7
15,3
15,3
15,2
15,3
15,2
15,2
15,3
15,2
15,3
15,3
15,2
15,7
15,4
15,2
15,3
15,2
15,2
15,2
15,1
15,3
15,3
15,2
15,5
15,2
15,2
15,2
15,4
15,3
15,3
15,7
15,3
15,2
15,3
15,3
15,2
15,3
15,6
15,2
15,4
15,2
15,2
15,2
15,3
15,2
15,3
15,2
15,3
15,2
15,2
15,6
15,3
15,2
15,3
15,1
15,2
15,3
15,4
15,3
15,2
15,3
15,1
15,2
15,2
15,2
15,2
15,2
15,4
15,2
15,3
15,2
15,1
15,2
15,2
15,2
15,2
15,3
15,1
15,2
15,2
15,3
15,6
15,4
15,3
15,2
15,4
15,3
15,3
15,2
15,3
15,4
15,4
15,1
15,7
15,2
15,2
15,3
15,3
15,2
15,2
15,2
15,2
15,3
15,2
15,3
15,2
15,3
15,3
15,6
15,4
15,3
15,2
15,2
15,3
15,2
15,4
15,2
15,3
15,2
15,2
15,2
15,2
15,6
15,3
15,3
15,2
15,3
15,2
15,3
15,3
15,2
15,3
15,2
15,2
15,3
15,2
15,2
15,4
15,2
15,3
15,2
15,2
15,3
15,1
15,4
15,3
15,2
15,2
15,2
15,2
15,2
15,3
15,2
15,3
15,2
15,3
15,2
15,2
15,6
15,3
15,3
15,1
15,3
15,3
15,2
15,3
15,2
15,1
15,4
15,6
15,1
15,2
15,4
15,3
15,6
15,1
15,2
15,3
15,2
15,3
15,4
15,2
15,2
15,2
15,3
15,4
15,7
15,2
15,4
15,3
15,3
15,4
15,3
15,4
15,6
15,3
15,3
15,2
15,2
15,3
15,4
15,2
15,4
15,4
15,3
15,2
15,3
15,1
15,4
15,4
15,4
15,2
15,4
15,3
15,2
15,2
15,2
15,2
15,2
16,3
16,3
16,4
16,3
16,4
16,3
16,3
16,4
16,3
16,7
16,4
16,3
16,2
16,3
16,3
16,6
16,6
16,7
16,6
16,6
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,1
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,1
16,3
16,2
16,4
16,2
16,4
16,2
16,1
16,2
16,4
16,4
16,2
16,4
16,3
16,2
16,3
16,2
16,4
16,2
16,3
16,4
16,4
16,4
16,4
16,2
16,4
16,3
16,1
16,2
16,3
16,3
16,4
16,1
16,2
16,2
16,2
16,3
16,1
16,1
16,4
16,3
16,6
16,3
16,2
16,1
16,4
16,2
16,3
16,3
16,4
16,2
16,2
16,3
16,2
16,2
16,4
16,2
16,2
16,1
16,2
16,2
16,1
16,2
16,2
16,4
16,3
16,2
16,7
16,3
16,3
16,2
16,2
16,2
16,2
16,2
16,3
16,2
16,6
16,2
16,6
16,4
16,3
16,2
16,2
16,2
16,1
16,2
16,1
16,1
16,6
16,2
16,2
16,3
16,2
16,2
16,2
16,2
16,2
16,4
16,2
16,3
16,1
16,2
16,2
16,2
16,4
16,2
16,2
16,2
16,2
16,4
16,2
16,2
16,4
16,1
16,4
16,2
16,2
16,4
16,3
16,4
16,3
16,2
16,2
16,2
16,3
16,2
16,2
16,2
16,2
16,7
16,2
16,2
16,3
16,3
16,2
16,3
16,1
16,1
16,1
16,2
16,3
16,2
16,2
16,2
16,4
16,2
16,2
16,3
16,2
16,2
16,2
16,5
16,1
16,5
16,6
16,5
16,2
16,2
16,3
16,3
16,1
16,2
16,3
16,2
16,2
16,3
16,5
16,3
16,1
16,1
16,3
16,5
16,3
16,3
16,5
16,3
16,2
16,3
16,3
16,4
16,2
16,3
16,2
16,3
16,4
16,3
16,4
16,2
16,4
16,2
16,2
16,3
16,1
16,1
16,1
16,2
16,3
16,2
16,3
16,2
16,2
16,2
16,3
16,1
16,2
16,2
16,1
16,2
16,5
16,3
16,4
16,3
16,4
16,2
16,2
16,2
16,2
16,1
16,3
16,3
16,3
16,3
16,2
16,2
16,3
16,3
16,4
16,2
16,2
16,1
16,2
16,3
16,2
16,3
16,3
16,3
16,2
16,3
16,2
16,2
16,3
16,2
16,2
16,2
16,2
16,3
16,2
16,2
16,2
16,2
16,2
16,1
16,4
16,4
16,1
16,4
16,2
16,2
16,3
16,3
16,2
16,3
16,2
16,1
16,3
16,2
16,2
16,2
16,2
16,2
16,3
16,3
16,1
16,4
16,2
16,1
16,3
16,3
16,3
16,1
16,2
16,3
16,2
16,3
16,2
16,4
16,3
16,3
16,4
16,3
16,2
16,2
16,2
16,1
16,3
16,4
16,4
16,3
16,2
16,3
16,4
16,3
16,2
16,3
16,6
16,4
16,7
16,2
16,3
16,3
16,3
16,1
16,3
16,2
16,3
16,3
16,2
16,2
16,3
16,3
16,3
16,3
16,1
16,1
16,3
16,7
16,3
16,2
16,2
16,3
16,2
16,2
16,3
16,3
16,2
16,3
16,2
16,2
16,3
16,2
16,3
16,3
16,4
16,2
16,2
16,3
16,4
16,1
16,2
16,3
16,7
16,6
16,1
16,6
16,4
16,2
16,3
16,2
16,4
16,4
16,3
16,7
16,2
16,2
16,3
16,1
16,3
16,3
16,2
16,2
16,2
16,2
16,3
16,2
16,2
16,7
16,3
16,1
16,3
16,4
16,3
16,2
16,2
16,2
16,2
16,2
16,3
16,1
16,1
16,2
16,4
16,3
16,3
16,3
16,1
16,3
16,2
16,1
16,2
16,3
16,3
16,3
16,2
16,2
16,3
16,3
16,2
16,3
16,1
16,2
16,3
16,2
16,2
16,2
16,2
16,2
16,4
16,2
16,2
16,3
16,3
16,2
16,2
16,2
16,2
16,2
16,1
16,2
16,2
16,2
16,3
16,2
16,7
16,3
16,2
16,2
16,2
16,2
16,3
16,3
16,2
16,3
16,3
16,2
16,2
16,4
16,1
16,3
16,2
16,2
16,3
16,2
16,1
16,4
16,3
16,7
16,3
16,2
16,3
16,4
16,1
16,4
16,7
16,4
16,3
16,3
16,2
16,3
16,3
16,4
16,3
16,1
16,3
16,3
16,1
16,2
16,2
16,4
16,4
16,2
16,3
16,1
16,3
16,3
16,3
16,2
16,2
16,2
16,3
16,6
16,3
16,4
16,2
16,2
16,3
16,3
16,3
16,4
16,4
16,3
16,2
16,3
16,1
16,2
16,2
16,4
16,2
16,1
16,3
16,4
16,2
16,1
16,1
16,4
16,2
16,2
16,1
16,3
16,6
16,1
16,4
16,1
16,1
16,4
16,2
16,1
16,2
16,1
16,2
16,2
16,2
16,1
16,3
16,4
16,1
16,2
16,2
16,2
16,2
16,1
16,4
16,1
16,2
16,4
16,1
16,4
16,1
16,2
16,2
16,1
16,2
16,2
16,4
16,2
16,2
16,3
16,4
16,2
16,1
16,4
16,4
16,4
16,2
16,4
16,2
16,1
16,1
16,1
16,4
16,2
16,2
16,2
16,2
16,4
16,2
16,2
16,1
16,4
16,2
16,1
16,1
16,2
16,2
16,2
16,1
16,4
16,2
16,2
16,2
16,2
16,4
16,1
16,7
16,4
16,1
16,2
16,4
16,7
16,1
16,2
16,4
16,2
16,5
16,1
16,1
16,3
16,4
16,4
16,4
16,4
16,5
