Record_Number,RecordWritten,DNIS,Cluster_ID,Cluster_Type,RepeatCall,Repeat_UID,Source
3861675,10/24/2018 9:20:51 AM,2236,2,Identification,TRUE,910a641e-4f19-4901-9185-2fe098a0199f,OM3
3861677,10/24/2018 9:21:09 AM,1750,3,Identification,TRUE,29cf677f-5ed8-4535-aa76-113e7f9d1f85,CM4
3861701,10/24/2018 9:26:47 AM,2796,4,Identification,TRUE,dcbc1885-4bfc-4eff-8986-882c9419c721,OM2
3861709,10/24/2018 9:27:48 AM,2236,2,Identification,TRUE,b5f56100-d702-4ca5-94dd-88abd0e23102,CM3
3861721,10/24/2018 9:29:12 AM,1750,3,Identification,TRUE,659b8586-c620-4017-9431-a8411b06ff66,OM2
3861724,10/24/2018 9:29:24 AM,2236,2,Identification,TRUE,a280584e-cbe9-451c-98a3-a34d26b9c3ed,CM3
3861750,10/24/2018 9:34:22 AM,1750,3,Identification,TRUE,27790bee-af31-4a84-903b-3ac238f048bf,CM1
3861755,10/24/2018 9:35:10 AM,2236,2,Identification,TRUE,22d9efa6-c24a-4eeb-8a9a-fc35b3b72fc5,CM1
3861763,10/24/2018 9:36:21 AM,2236,2,Identification,TRUE,6b377d4c-e8c2-49b3-8024-bf0c76acd3d8,OM4
3861766,10/24/2018 9:36:49 AM,8767,1,Identification,TRUE,ae5988d8-fa15-4e08-9da5-75388403951a,CM1
3861776,10/24/2018 9:38:20 AM,1750,3,Identification,TRUE,7520df16-5974-4220-9c3f-b8d66ef8b021,CM1
3861781,10/24/2018 9:39:14 AM,1750,3,Identification,TRUE,5716acb7-11ab-48a9-8041-c388410f4572,CM2
3861790,10/24/2018 9:40:28 AM,2796,4,Identification,TRUE,56397ea2-4e1b-4712-a329-48fd27ae84c1,OM1
3861796,10/24/2018 9:41:42 AM,8767,1,Identification,TRUE,04569355-036d-4178-809c-36fae909fd8a,OM2
3861799,10/24/2018 9:42:22 AM,2236,2,Identification,TRUE,22828b15-ec69-4ab1-8b01-6ce2d9e2d9f0,CM3
3861810,10/24/2018 9:45:00 AM,2236,2,Identification,TRUE,71cc3d00-c57d-4f56-9222-ed6e6cc8c397,OM1
3861826,10/24/2018 9:48:10 AM,1750,3,Identification,TRUE,da2ea3e7-0857-4430-904e-e0f8bd034658,CM3
3861833,10/24/2018 9:49:04 AM,1750,3,Identification,TRUE,eb6cb8c8-4a75-4afa-8c64-ae17b280321f,OM1
3861841,10/24/2018 9:50:18 AM,1033,6,Identification,TRUE,d06a488a-d22a-43a3-bb60-b42f32c12b6e,CM1
3861872,10/24/2018 9:55:53 AM,8767,1,Identification,TRUE,c60e2f6b-068c-46ee-acd2-a6dbe9af311b,OM3
3861880,10/24/2018 9:56:56 AM,2236,2,Identification,TRUE,df8c12fe-73c2-4214-8d74-a4def9d2d410,CM3
3861884,10/24/2018 9:57:10 AM,2236,2,Identification,TRUE,052a2366-87f2-4abc-900d-a14517b89048,CM2
3861894,10/24/2018 9:58:22 AM,2236,2,Identification,TRUE,b844983d-477d-4766-b65c-38f0ba5b2d56,OM3
3861908,10/24/2018 10:01:03 AM,2236,2,Identification,TRUE,f1f01f15-8ffc-4477-98bd-620aa98a9dd9,CM2
3861926,10/24/2018 10:03:45 AM,2236,2,Identification,TRUE,89764b51-edb8-4df9-9bca-4f1f8e99c0b4,CM4
3861929,10/24/2018 10:03:58 AM,1750,3,Identification,TRUE,5ee45d67-c50a-4507-9648-ec51a6220961,CM3
3861934,10/24/2018 10:04:13 AM,2236,2,Identification,TRUE,73c63cd7-7f85-47c4-8b6a-7798af54a8e2,OM1
3861942,10/24/2018 10:05:27 AM,8767,1,Identification,TRUE,c5095783-39d9-4dd9-b7ec-f576c0d26eb4,CM3
3861944,10/24/2018 10:05:42 AM,2236,2,Identification,TRUE,dc126428-7798-4489-9e6c-43aab6686501,CM2
3861988,10/24/2018 10:12:32 AM,8767,1,Identification,TRUE,82a61ce5-1595-4036-a396-b427c9bf5054,CM3
3862026,10/24/2018 10:16:58 AM,2792,7,Identification,TRUE,a90637e2-6431-43aa-8b78-ec3460752157,CM1
3862029,10/24/2018 10:17:07 AM,2236,2,Identification,TRUE,103406cc-0b34-48a5-b701-30a502852659,OM2
3862032,10/24/2018 10:17:22 AM,1750,3,Identification,TRUE,a5d6168d-1710-4ede-beac-11fcfa448d42,OM1
3862043,10/24/2018 10:19:32 AM,2236,2,Identification,TRUE,93417045-5a95-4f04-870b-4cb17746cf0a,OM3
3862054,10/24/2018 10:21:17 AM,8767,1,Identification,TRUE,0e45a4ec-6427-455d-b094-edd52f374286,OM4
3862080,10/24/2018 10:24:13 AM,2236,2,Identification,TRUE,e658d795-b907-446f-91cb-4f7b3da9de15,CM1
3862082,10/24/2018 10:24:26 AM,1033,6,Identification,TRUE,14ee46ed-b489-4034-88a7-7573a647e169,CM4
3862113,10/24/2018 10:27:38 AM,8767,1,Identification,TRUE,24062eae-fac3-45b5-ae04-3d6db9b6b97e,OM1
3862122,10/24/2018 10:28:46 AM,2236,2,Identification,TRUE,89bb7156-bc2c-4bfd-873c-98c7e2c1050f,OM2
3862132,10/24/2018 10:29:35 AM,2236,2,Identification,TRUE,e25cc849-13cb-4aa7-bbd0-98421242e374,OM3
3862133,10/24/2018 10:30:10 AM,1750,3,Identification,TRUE,77d84566-cbbc-41bb-be0c-744c2c3a4466,CM4
3862139,10/24/2018 10:30:55 AM,8767,1,Identification,TRUE,1e4c2d94-99be-4de1-a47d-0d9f7e4dfdce,OM3
3862145,10/24/2018 10:31:17 AM,2236,2,Identification,TRUE,9453d68e-f600-4b28-9502-bd15b3062600,CM3
3862157,10/24/2018 10:32:43 AM,2796,4,Identification,TRUE,1663d122-475a-4f01-8c0c-2b7cac84663a,CM1
3862161,10/24/2018 10:33:19 AM,2236,2,Identification,TRUE,6974f715-6ada-43e2-9cb3-803ccc74e126,OM4
3862169,10/24/2018 10:34:33 AM,1750,3,Identification,TRUE,086ffc36-43ed-4856-b531-a844b02eaf13,CM4
3862174,10/24/2018 10:35:02 AM,8767,1,Identification,TRUE,cb340b29-2422-43fb-9f80-21ee10c17ad6,CM1
3862175,10/24/2018 10:35:09 AM,8767,1,Identification,TRUE,7debcda8-f628-4495-b2ea-5d3f0e989e79,OM3
3862179,10/24/2018 10:35:58 AM,2236,2,Identification,TRUE,5f5c699f-f8b3-4fb7-b928-f60c32967126,CM3
3862185,10/24/2018 10:36:36 AM,2236,2,Identification,TRUE,dbbeb2eb-c992-47f1-8d8b-92dd9ab86790,OM2
3862188,10/24/2018 10:37:06 AM,2796,4,Identification,TRUE,f9fe7af4-d047-46b0-a7e2-b7e0bcbd3ab8,OM4
